MAG	Control
MEGAHIT-MetaBAT2-S949.157	6132.7666366156
MEGAHIT-MetaBAT2-S950.132	1031.45255119969
MEGAHIT-MetaBAT2-S950.5	8386.35226256755
MEGAHIT-MetaBAT2-S951.163	1732.95281756812
MEGAHIT-MetaBAT2-S951.173	3976.80409113787
MEGAHIT-MetaBAT2-S951.45	1386.60872704886
MEGAHIT-MetaBAT2-S951.93	1135.93283858347
MEGAHIT-MetaBAT2-S952.67	1800.63877117095
MEGAHIT-MetaBAT2-S953.154	2060.66528797612
MEGAHIT-MetaBAT2-S953.167	1072.88692743045
MEGAHIT-MetaBAT2-S953.28	509.263355400572
MEGAHIT-MetaBAT2-S953.47	573.027618355958
MEGAHIT-MetaBAT2-S954.101	447.379312359444
MEGAHIT-MetaBAT2-S954.181	265.377074670199
MEGAHIT-MetaBAT2-S954.74	596.735740478308
MEGAHIT-MetaBAT2-S954.88	652.802540646156
MEGAHIT-MetaBAT2-S955.109	442.108383663878
MEGAHIT-MetaBAT2-S955.122	452.628558638201
MEGAHIT-MetaBAT2-S955.14	416.734328124219
MEGAHIT-MetaBAT2-S955.19	563.155400645757
MEGAHIT-MetaBAT2-S955.226	2749.94484881691
MEGAHIT-MetaBAT2-S956.103	901.047774919983
MEGAHIT-MetaBAT2-S956.75	2663.62369629719
MEGAHIT-MetaBAT2-S957.114	715.63022723739
MEGAHIT-MetaBAT2-S957.37	650.79340764889
MEGAHIT-MetaBAT2-S957.55	311.536525087737
MEGAHIT-MetaBAT2-S957.57	3179.47047737308
MEGAHIT-MetaBAT2-S957.66	857.894626360679
MEGAHIT-MetaBAT2-S958.133	2932.19742392156
MEGAHIT-MetaBAT2-S958.137	538.018554237257
MEGAHIT-MetaBAT2-S958.173	2227.69094928921
MEGAHIT-MetaBAT2-S959.110	647.311688377792
MEGAHIT-MetaBAT2-S959.123	1514.33777001006
MEGAHIT-MetaBAT2-S959.81	510.832178363654
MEGAHIT-MetaBAT2-S960.129	139.327591852348
MEGAHIT-MetaBAT2-S960.192	2571.60127989359
MEGAHIT-MetaBAT2-S960.199	371.15294980812
MEGAHIT-MetaBAT2-S960.200	213.694003524941
MEGAHIT-MetaBAT2-S960.208	729.167984971752
MEGAHIT-MetaBAT2-S960.65	34.2795059517293
MEGAHIT-MetaBAT2-S960.89	210.733671259423
MEGAHIT-MetaBAT2-S961.20	1951.07829178592
MEGAHIT-MetaBAT2-S961.221	833.842752592311
MEGAHIT-MetaBAT2-S962.117	2303.40909722938
MEGAHIT-MetaBAT2-S962.15	756.368242494021
MEGAHIT-MetaBAT2-S962.187	731.710673412658
MEGAHIT-MetaBAT2-S962.24	3376.87062363336
MEGAHIT-MetaBAT2-S962.33	609.981463898674
MEGAHIT-MetaBAT2-S962.48	868.696397531721
MEGAHIT-MetaBAT2-S962.71	511.370836798645
MEGAHIT-MetaBAT2-S962.8	775.563047998285
MEGAHIT-MetaBAT2-S962.80	2874.51444733591
MEGAHIT-MetaBAT2-S962.93	184.390018365645
MEGAHIT-MetaBAT2-S963.73	0
MEGAHIT-MetaBAT2-S964.110	517.657956098431
MEGAHIT-MetaBAT2-S964.113	704.211855735119
MEGAHIT-MetaBAT2-S964.152	759.965488202024
MEGAHIT-MetaBAT2-S964.154	2412.17344913157
MEGAHIT-MetaBAT2-S964.185	1038.43661353024
MEGAHIT-MetaBAT2-S964.207	729.136119792427
MEGAHIT-MetaBAT2-S964.217	1101.53673886365
MEGAHIT-MetaBAT2-S964.235	884.887700008002
