X932	X933	X934	X935	X937	X938	X939	X940	X941	X942	X943	X944	X945	X946	X947	X948	X949	X950	X951	X952	X953	X954	X955	X956	X957	X958	X959	X960	X961	X962	X963	X964	X965	X966	X967	X968	X969	X970	X971	X972	X973	X974	X975	X976	X978	X979	X980	X981	X982	X983	X984	X985	X986	X987	X988	X989	X990	X991	X992	X993
P69	15.9323720932007	14.4432287216187	16.2429351806641	17.3006763458252	16.4456062316895	0	16.5609703063965	16.8005180358887	17.0181560516357	17.353946685791	16.4678268432617	15.1218299865723	16.4430694580078	0	17.4064788818359	16.6233921051025	17.28125	16.7414016723633	16.4203186035156	16.5246524810791	14.9354457855225	14.6105794906616	17.0008087158203	15.0863676071167	14.9725732803345	15.7358427047729	15.1970262527466	15.5530233383179	15.8998203277588	0	17.1460609436035	16.3296585083008	15.1328573226929	16.2169456481934	14.2610111236572	0	16.5610256195068	16.0323619842529	15.7729721069336	14.6834936141968	0	15.1193819046021	0	0	17.2003498077393	15.6432037353516	16.1719970703125	17.2473812103271	16.7691783905029	16.791934967041	16.6031284332275	17.6242198944092	16.7936058044434	16.1793937683105	16.2775249481201	15.6189661026001	16.5083503723145	15.5115489959717	16.2201232910156	17.5733509063721
P70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15.490180015564	0	0	0	0	0	0	0	0	14.2725687026978	0	0	0	0	0	0	0	14.5904102325439	0	0	0	0	0	0	0	0	15.1372489929199	14.8202257156372	0	13.807915687561	13.9509916305542	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P73	0	0	0	0	0	0	0	0	13.5325984954834	0	14.3527803421021	0	14.7932205200195	0	16.0236148834229	15.2788324356079	15.5289669036865	15.6836996078491	0	15.6917133331299	0	0	15.6528577804565	15.0909662246704	0	0	0	0	15.6996955871582	0	15.665714263916	14.8434352874756	0	0	0	0	0	16.3803195953369	16.4535484313965	0	0	0	0	0	0	0	14.6360836029053	15.5542793273926	15.0702714920044	14.8687868118286	15.752908706665	15.2206506729126	15.8550395965576	15.7061958312988	0	14.253454208374	15.6233625411987	0	0	15.8821353912354
P74	0	0	0	0	14.63733959198	0	0	15.206750869751	0	0	0	0	0	0	0	0	14.4172897338867	0	0	0	15.3688583374023	0	0	0	15.4664392471313	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P75	0	0	14.9067850112915	15.4863262176514	0	0	14.7854251861572	15.17724609375	15.9625110626221	15.4942188262939	14.585129737854	0	15.438009262085	0	16.1715297698975	0	0	15.3904676437378	14.4099178314209	16.1499900817871	0	0	14.732518196106	0	0	0	0	0	0	0	15.1424083709717	15.1806745529175	0	0	0	0	0	0	0	0	0	0	0	0	15.0578842163086	0	14.7002019882202	15.5860414505005	14.9022722244263	16.4736061096191	0	15.8386116027832	0	0	0	0	15.8991575241089	0	0	16.2897109985352
P76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.8215131759644	14.5679473876953	0	12.3245477676392	0	0	0	0	0	0	0	0	0	0
P77	0	14.7646150588989	0	0	0	0	0	16.3399868011475	0	0	0	0	0	0	0	0	0	15.7835788726807	0	0	16.1912670135498	0	17.3603115081787	0	0	0	0	15.369722366333	0	0	15.9170389175415	0	15.2943744659424	0	0	15.2888317108154	0	0	15.1502151489258	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16.9822425842285	14.3760547637939	0	0
P78	14.374439239502	0	0	0	15.171347618103	0	0	0	0	0	0	0	0	0	0	0	15.9624996185303	0	0	15.6799402236938	0	0	0	14.5799531936646	15.6297063827515	0	0	0	0	0	0	0	0	0	0	0	0	0	15.4841547012329	0	0	15.1797437667847	0	0	0	0	0	0	0	15.1289615631104	0	0	15.2487831115723	0	0	0	0	0	0	0
P80	15.0696983337402	15.25124168396	0	14.7659091949463	15.0143394470215	0	0	15.5209550857544	0	14.5876436233521	0	0	0	0	0	15.9731616973877	15.4463930130005	14.6841640472412	14.6395502090454	15.337061882019	0	0	0	15.5652894973755	15.5873746871948	15.2655868530273	15.252420425415	15.6497402191162	15.8346881866455	0	15.9063243865967	0	15.3796997070313	15.047384262085	15.1923503875732	0	0	0	15.4523897171021	14.9627590179443	0	16.2330417633057	15.5285472869873	0	15.2833299636841	0	14.8039379119873	15.3999280929565	14.9231243133545	0	14.8675441741943	0	15.5959806442261	14.8899278640747	15.5338916778564	14.4020862579346	16.0358810424805	0	15.0637159347534	16.312858581543
P82	15.3520345687866	15.2416429519653	0	0	14.7574300765991	0	0	14.697793006897	14.6239814758301	14.8430128097534	14.6247692108154	14.5326538085938	0	0	0	14.1452732086182	15.2587366104126	0	15.1721277236938	15.7819128036499	14.7747688293457	0	14.7679853439331	14.691481590271	15.6764430999756	0	0	13.5838136672974	14.9360284805298	0	0	0	14.7506237030029	0	0	0	0	0	14.5219488143921	0	0	14.8007221221924	0	0	0	15.3937635421753	0	15.2422761917114	14.3552207946777	15.8845329284668	15.4663562774658	15.3030471801758	15.8734121322632	14.88498878479	0	0	14.9719209671021	0	15.0046939849854	0
