"ko_id"	"mean_control"	"mean_stress"	"log2Fold_change"	"p_value"	"FDR"	"SCORE_neg_log10_p"	"Significance"
"K01838"	14.4604827975905	14.4237539233182	-0.0367288742723257	0.983195542847073	0.987128325018461	0.00736009891870247	"Not significant"
"K01839"	12.0731698239096	11.4218398053365	-0.651330018573095	0.708518137916679	0.759991677850796	0.149649027425979	"Not significant"
"K01854"	12.7601869328162	14.6944453788434	1.93425844602717	0.228308905032405	0.350477192024495	0.641477148820711	"Not significant"
"K01886"	14.741787965711	15.4452894323105	0.703501466599562	0.631341770055556	0.693664514258686	0.199735476466201	"Not significant"
"K01912"	8.14414835877166	11.4983756980467	3.354227339275	0.0951215357028894	0.283276160214032	1.02172114680498	"p < 0.1 & |FC| > 3"
"K01925"	13.3699182191711	14.6332891477308	1.2633709285597	0.468696745326674	0.562884608023901	0.329108062250162	"Not significant"
"K01926"	12.2628949229904	9.3430194065342	-2.91987551645619	0.170477300364125	0.319326883517876	0.768333440618155	"Not significant"
"K01929"	8.66809755284207	11.0743696319252	2.40627207908313	0.189896908636048	0.324700472947643	0.721482105158895	"Not significant"
"K01961"	5.14069364711006	2.44362419726867	-2.69706944984139	0.102386531212341	0.283276160214032	0.989757170360991	"Not significant"
"K02010"	10.995679425878	8.3593403179476	-2.63633910793039	0.177581070463816	0.320667976161279	0.750603330400093	"Not significant"
"K02025"	10.5960424169277	8.99322216541067	-1.60282025151708	0.419921577557774	0.521783742410897	0.376831808683074	"Not significant"
"K02029"	11.8038867094828	11.9293601324052	0.125473422922445	0.943072230213472	0.954480362030571	0.0254550432310502	"Not significant"
"K02042"	7.28238068808246	4.2058595271548	-3.07652116092766	0.108681198067805	0.283276160214032	0.963845582700145	"Not significant"
"K02056"	5.57068751625953	9.61101457106272	4.04032705480319	0.0459077625174051	0.252536831478572	1.33811387364705	"p < 0.05 & |FC| > 1"
"K02082"	12.7709028718364	15.1972216943644	2.42631882252802	0.160124070248187	0.316465682144055	0.795543378947517	"Not significant"
"K02119"	12.1470142681539	14.788451959045	2.64143769089104	0.0715553285720949	0.264123345170527	1.14535801971987	"Not significant"
"K02335"	10.541572885576	13.4414711286007	2.89989824302475	0.12344742455044	0.293653111692573	0.908517966203492	"Not significant"
"K02337"	5.29922081550648	2.64588619080564	-2.65333462470084	0.125619065054498	0.293653111692573	0.90094444324514	"Not significant"
"K02426"	1.41611457801872	5.08729719315915	3.67118261514043	0.0218644233419231	0.252536831478572	1.66026197236547	"p < 0.05 & |FC| > 1"
"K02431"	3.46021710739095	6.30239255725477	2.84217544986381	0.128488653919428	0.293653111692573	0.891135220641934	"Not significant"
"K02435"	6.82709829107776	4.24387053715667	-2.5832277539211	0.177458890548006	0.320667976161279	0.750902237966323	"Not significant"
"K02483"	14.2519373642902	13.2483520329194	-1.00358533137085	0.543862241289276	0.631988067424113	0.264511091890737	"Not significant"
"K02528"	8.17888646567658	11.6388817312237	3.45999526554714	0.0660981638427736	0.263194944126611	1.17981060472052	"p < 0.1 & |FC| > 3"
"K02529"	12.2329421041498	14.9940728678223	2.76113076367251	0.0802594939956686	0.270925719198526	1.0955035826483	"Not significant"
"K02563"	15.9118534825383	18.3681150825767	2.45626160003847	0.0377585686440171	0.252536831478572	1.42298447734503	"p < 0.05 & |FC| > 1"
"K02621"	6.51710760121056	9.32190644843891	2.80479884722835	0.110859962748994	0.283276160214032	0.955225271674545	"Not significant"
"K02663"	0.443124365391468	4.43399167533733	3.99086730994587	0.0049418094146192	0.252536831478572	2.3061140075732	"p < 0.05 & |FC| > 1"
"K02760"	13.9254520309604	15.9184987698178	1.99304673885743	0.253962495226601	0.377186901194537	0.59523041455634	"Not significant"
"K02823"	10.6037476558493	12.3686640994328	1.76491644358352	0.334365115187892	0.452838204649491	0.475779039461786	"Not significant"
"K02838"	16.0033754409718	14.8001148269806	-1.2032606139912	0.39131649340745	0.493570049473719	0.407471846847885	"Not significant"
"K02860"	3.22510339108193	5.69694329685824	2.47183990577631	0.202355534240023	0.336365821816197	0.693884913550464	"Not significant"
"K02908"	4.99162041592285	1.61966289514567	-3.37195752077719	0.0397962235643087	0.252536831478572	1.40015813805186	"p < 0.05 & |FC| > 1"
"K02916"	9.52769428147109	7.45562716563468	-2.07206711583641	0.30947017374454	0.424464555245244	0.509381201255673	"Not significant"
"K02936"	4.37842359006601	1.53307739981889	-2.84534619024711	0.0659219810331802	0.263194944126611	1.1809697500541	"Not significant"
"K02984"	6.86713836310074	4.20681127260709	-2.66032709049365	0.165213760925078	0.318989646093804	0.781953782409508	"Not significant"
"K03048"	9.33055068995221	9.77980279494949	0.449252104997273	0.822422385563062	0.859388584062127	0.0849050771009882	"Not significant"
"K03074"	2.91994744953643	7.72079743751918	4.80084998798275	0.00942960495098544	0.252536831478572	2.02550650145153	"p < 0.05 & |FC| > 1"
"K03218"	11.0147496727427	10.2328102824849	-0.781939390257786	0.70631929707604	0.759991677850796	0.150998928395359	"Not significant"
"K03269"	12.687686614381	11.5107720510088	-1.17691456337215	0.509839702976387	0.600797020878277	0.292566347540417	"Not significant"
"K03336"	11.891633782625	14.4471874941324	2.55555371150734	0.157425452616969	0.316465682144055	0.802925049375624	"Not significant"
"K03338"	3.94276577879728	1.02145144951273	-2.92131432928455	0.0443245937263812	0.252536831478572	1.35335523639708	"p < 0.05 & |FC| > 1"
"K03366"	7.40604411347893	5.82685388022839	-1.57919023325054	0.430739730529071	0.53019933438788	0.365785067977954	"Not significant"
"K03367"	12.5578270222597	12.2976052707448	-0.260221751514882	0.886518937383944	0.90087551936587	0.0523119827776655	"Not significant"
"K03394"	5.00676575494547	7.46485123752843	2.45808548258296	0.218456221983803	0.345140831099976	0.660635581374414	"Not significant"
"K03402"	3.02173160388235	6.3985953106514	3.37686370676904	0.0706501498647016	0.264123345170527	1.15088691257913	"p < 0.1 & |FC| > 3"
"K03410"	5.16717910719791	8.86375897945703	3.69657987225913	0.0484174503433559	0.252536831478572	1.31499808418313	"p < 0.05 & |FC| > 1"
"K03427"	6.05529481921354	8.58549479747287	2.53019997825933	0.186969720552621	0.324700472947643	0.728228721066073	"Not significant"
"K03465"	3.69466136820986	8.34049036981558	4.64582900160572	0.0139443251620758	0.252536831478572	1.8556024986427	"p < 0.05 & |FC| > 1"
"K03475"	5.27544695701646	3.02208932109065	-2.25335763592582	0.194309334879579	0.32732646345486	0.711506334812946	"Not significant"
"K03476"	6.49706067682667	3.92619718530899	-2.57086349151768	0.169315424180065	0.319326883517876	0.771303477028884	"Not significant"
"K03517"	8.42201500835263	12.4600412745839	4.03802626623131	0.0272296812936078	0.252536831478572	1.56495744177562	"p < 0.05 & |FC| > 1"
"K03524"	7.46465475181298	8.04507586922732	0.580421117414339	0.776950572270034	0.815960642844261	0.109606609092492	"Not significant"
"K03526"	15.6132617723147	17.2146518840492	1.60139011173451	0.215810116614992	0.345140831099976	0.665928200584133	"Not significant"
"K03536"	2.36166597375914	0	-2.36166597375914	0.0228665764986091	0.252536831478572	1.64079885153042	"p < 0.05 & |FC| > 1"
"K03551"	9.78368999987051	11.3094399403654	1.5257499404949	0.401877825845505	0.504356671436108	0.395905955934391	"Not significant"
"K03564"	10.5591026811455	11.9953282155918	1.43622553444625	0.477639333868713	0.567458707897767	0.320899916010306	"Not significant"
"K03596"	11.7044379587537	13.5284431559345	1.8240051971808	0.247271493244945	0.373281136264675	0.606825948499295	"Not significant"
"K03697"	14.1793690295981	15.7658225965758	1.58645356697769	0.270301264182971	0.39217119832327	0.568151923127007	"Not significant"
"K03699"	12.8020403562149	13.341349463019	0.539309106804145	0.744449971698012	0.78930239302939	0.128164482257705	"Not significant"
"K03704"	11.6657324828114	9.86185368853021	-1.8038787942812	0.355313826018093	0.464498803804903	0.449387892858159	"Not significant"
"K03735"	11.5042163550054	8.72695975381088	-2.77725660119456	0.12826149861979	0.293653111692573	0.891903690050285	"Not significant"
"K03743"	10.5147019850852	8.90974981864985	-1.60495216643537	0.430918980936763	0.53019933438788	0.365604375870913	"Not significant"
"K03758"	4.95978512775352	2.5127538625246	-2.44703126522892	0.134008848012044	0.296975524910875	0.872866526143047	"Not significant"
"K03772"	1.54562171599846	4.86182685441088	3.31620513841242	0.0460783542734959	0.252536831478572	1.3365030404942	"p < 0.05 & |FC| > 1"
"K03783"	13.3919410133309	11.3630391213817	-2.02890189194915	0.243910517419259	0.371039635589297	0.612769472508459	"Not significant"
"K03797"	11.5476888393572	11.4878693098286	-0.0598195295286139	0.974163821393586	0.981988430400763	0.0113680033424517	"Not significant"
"K03975"	13.1764476922896	13.5488530534604	0.372405361170758	0.825149995055667	0.859388584062127	0.0834670985968632	"Not significant"
"K04041"	8.93702741363976	12.5363444502057	3.59931703656594	0.0477716863682256	0.252536831478572	1.32082942759904	"p < 0.05 & |FC| > 1"
"K04042"	14.5288069991186	15.2586621174258	0.729855118307169	0.61721033070071	0.688532413359458	0.209566813443684	"Not significant"
"K04094"	14.2242278402034	12.6575395030857	-1.56668833711773	0.359358085121837	0.46494267714217	0.444472579597275	"Not significant"
"K04749"	4.25992431859548	8.67340658960589	4.41348227101041	0.0200451561113356	0.252536831478572	1.69799055712223	"p < 0.05 & |FC| > 1"
"K04759"	10.3439922744915	11.2389679774183	0.894975702926772	0.632865234124458	0.693664514258686	0.198688761242207	"Not significant"
"K05346"	7.97805756055402	11.2948574185774	3.31679985802341	0.0919100735969785	0.281558555049476	1.03663688613488	"p < 0.1 & |FC| > 3"
"K05566"	0.451201997393868	3.49567562094407	3.0444736235502	0.0209291033911228	0.252536831478572	1.67924937656473	"p < 0.05 & |FC| > 1"
"K05776"	9.0493947774275	8.71566306014514	-0.333731717282355	0.871531746612872	0.8928753812238	0.0597167885566555	"Not significant"
