"ko_id"	"SampleID"	"summedLFQ"	"corral"	"Tto"	"sex"
"K00013"	"X951"	42871.9905985048	"C4"	"stress"	"F"
"K00013"	"X952"	127456.725834916	"C4"	"stress"	"M"
"K00013"	"X953"	97835.0215410152	"C4"	"stress"	"M"
"K00013"	"X954"	0	"C4"	"stress"	"F"
"K00013"	"X955"	15563.0636765629	"C3"	"control"	"M"
"K00013"	"X956"	122214.140294225	"C3"	"control"	"F"
"K00013"	"X957"	43822.151046237	"C3"	"control"	"F"
"K00013"	"X958"	0	"C3"	"control"	"F"
"K00013"	"X959"	0	"C3"	"control"	"M"
"K00013"	"X960"	0	"C3"	"control"	"M"
"K00013"	"X961"	51035.2932117432	"C3"	"control"	"M"
"K00013"	"X962"	12369.5083790187	"C3"	"control"	"F"
"K00013"	"X963"	22052.5561166902	"C10"	"stress"	"M"
"K00013"	"X964"	0	"C10"	"stress"	"M"
"K00013"	"X965"	0	"C10"	"stress"	"F"
"K00013"	"X966"	0	"C10"	"stress"	"F"
"K00013"	"X967"	0	"C10"	"stress"	"F"
"K00013"	"X968"	0	"C10"	"stress"	"F"
"K00013"	"X969"	14414.5863216652	"C10"	"stress"	"M"
"K00013"	"X970"	0	"C9"	"control"	"F"
"K00013"	"X971"	22457.1673556417	"C9"	"control"	"M"
"K00013"	"X972"	0	"C9"	"control"	"F"
"K00013"	"X973"	0	"C9"	"control"	"F"
"K00013"	"X974"	33735.363058436	"C9"	"control"	"F"
"K00013"	"X975"	123438.80635319	"C9"	"control"	"M"
"K00013"	"X976"	0	"C9"	"control"	"M"
"K00013"	"X978"	56414.1482365323	"C8"	"stress"	"M"
"K00013"	"X979"	0	"C8"	"stress"	"M"
"K00013"	"X980"	17739.5197984004	"C8"	"stress"	"F"
"K00013"	"X981"	18018.2677525666	"C8"	"stress"	"M"
"K00013"	"X982"	28250.6338222074	"C8"	"stress"	"F"
"K00013"	"X983"	90519.0345091975	"C8"	"stress"	"M"
"K00013"	"X984"	67425.1354137154	"C8"	"stress"	"F"
"K00013"	"X985"	35733.1196139262	"C8"	"stress"	"F"
"K00013"	"X986"	82833.1407909908	"C7"	"control"	"F"
"K00013"	"X987"	85481.2376198245	"C7"	"control"	"F"
"K00013"	"X988"	8442.04569281615	"C7"	"control"	"F"
"K00013"	"X989"	17431.9236280677	"C7"	"control"	"M"
"K00013"	"X990"	52155.2993502344	"C7"	"control"	"F"
"K00013"	"X991"	18377.5041727313	"C7"	"control"	"M"
"K00013"	"X992"	20901.9953005455	"C7"	"control"	"M"
