code_protein	Protein	Association	Loading_Value	Description	comp1	comp2	comp3
P15993	993_SemiBin_0_contig_4100150_23	stress	0.0296581723229357	rank: C;raffinose/stachyose/melibiose transport system substrate-binding protein (db=kegg)	0.0296581723229357	-0.0187011494431526	0.00709916497633941
P23101	MEGAHIT-MetaBAT2-S950.5_contig_1514692_6	stress	0.0296575836020546	rank: E	0.0296575836020546	-0.0490116996333442	0.0154499179314706
P27165	MEGAHIT-MetaBAT2-S960.192_contig_80427_6	control	-0.0296569505613758	rank: D;Domain of unknown function (DUF6359) [PF19886.4];Family of unknown function (DUF5689) [PF18942.5] (db=pfam)	-0.0296569505613758	-0.0119700334672259	0.0550077539572055
P23846	MEGAHIT-MetaBAT2-S951.163_contig_4275249_6	stress	0.0296542069129284	rank: D;OmpA family [PF00691.25] (db=pfam)	0.0296542069129284	-0.0169641021525822	-0.0255789621703343
P28870	MEGAHIT-MetaBAT2-S964.113_contig_1412645_18	control	-0.0296198056237959	rank: D;Flagellar filament outer layer protein Flaa [PF04620.17] (db=pfam)	-0.0296198056237959	-0.0287942280255395	-0.0169962035795566
P32115	MEGAHIT-MetaBAT2-S970.51_contig_6451559_7	stress	0.029587572987879	rank: E	0.029587572987879	-0.00748600720306234	0.00826407306083034
P3312	945_SemiBin_50_contig_502320_12	control	-0.0295850288259587	rank: E	-0.0295850288259587	-0.0318260336602266	-0.0526449602050128
P14443	987_SemiBin_26_contig_1253964_28	control	-0.029564331847769	rank: C;tungstate transport system substrate-binding protein (db=kegg)	-0.029564331847769	-0.0295582851661289	-0.00758325130664513
P15239	991_SemiBin_141_contig_1443169_11	stress	0.0295575267925835	rank: E	0.0295575267925835	-0.0133961101895695	0.0248639180501189
P8724	965_SemiBin_146_contig_1265098_11	stress	0.0295247997260311	rank: C;large subunit ribosomal protein L10 (db=kegg)	0.0295247997260311	0.00369487441921263	0.016749948793185
P23433	MEGAHIT-MetaBAT2-S950.5_contig_1514792_1	stress	0.0295145488079104	rank: E	0.0295145488079104	-0.0254928912931357	0.0149902686311157
P15155	991_SemiBin_141_contig_1443131_2	stress	0.0294909713779216	rank: E	0.0294909713779216	-0.0201807305296464	0.0161580194812674
P7082	958_SemiBin_114_contig_1436165_14	stress	0.0294854875056682	rank: D;EAL domain [PF00563.25];Diguanylate cyclase, GGDEF domain [PF00990.26] (db=pfam)	0.0294854875056682	-0.0091122582395222	0.0190060017004467
P39669	group3_bins.202_contig_5016509_7	stress	0.0294746051133928	rank: E	0.0294746051133928	-0.0084236734783037	0.00802393902511122
P22672	MEGAHIT-MetaBAT2-S950.5_contig_1514511_6	stress	0.0294645871873446	rank: D;Domain of unknown function (DUF4836) [PF16120.10] (db=pfam)	0.0294645871873446	-0.0488360464398237	0.022653711898453
P2423	940_SemiBin_253_contig_347921_6	control	-0.0294613561960108	rank: C;6-pyruvoyltetrahydropterin/6-carboxytetrahydropterin synthase [EC:4.2.3.12 4.1.2.50] (db=kegg)	-0.0294613561960108	-0.0280650345445458	-0.0578326770621344
P34379	MEGAHIT-MetaBAT2-S976.24_contig_3668688_3	stress	0.0294466640838959	rank: C;rubrerythrin (db=kegg)	0.0294466640838959	0.0150290276399512	-0.01040402839899
P37954	MEGAHIT-MetaBAT2-S990.131_contig_6877084_12	stress	0.0294117031845594	rank: C;starch-binding outer membrane protein, SusD/RagB family (db=kegg)	0.0294117031845594	-0.0150189208537715	-0.0187717029127696
P17294	MEGAHIT-MetaBAT2-S933.74_contig_4561881_1	stress	0.0293938589442312	rank: E	0.0293938589442312	-0.0037937849663239	0.0141122945357134
P19027	MEGAHIT-MetaBAT2-S942.110_contig_6618982_1	control	-0.0293833599655787	rank: D;TonB dependent receptor-like, beta-barrel [PF00593.29] (db=pfam)	-0.0293833599655787	-0.00713083549935785	0.00494633733489149
P18112	MEGAHIT-MetaBAT2-S937.179_contig_2343688_1	stress	0.0293592288354755	rank: C;urocanate reductase [EC:1.3.99.33] (db=kegg)	0.0293592288354755	-0.0178690906445692	0.0227325737406814
P35239	MEGAHIT-MetaBAT2-S979.62_contig_5177262_5	stress	0.0293550618580905	rank: C;fructoselysine-6-phosphate deglycase (db=kegg)	0.0293550618580905	-0.0130087917913713	0.0112954250157205
P40670	group6_bins.106_contig_5179530_46	stress	0.0293480127344243	rank: C;small subunit ribosomal protein S5 (db=kegg)	0.0293480127344243	0.0155146662473776	-0.00102789437239687
P39571	group3_bins.202_contig_5016212_1	stress	0.0293445938882082	rank: D;Elongation factor Tu GTP binding domain [PF00009.32] (db=pfam)	0.0293445938882082	-0.00111028933773908	-0.0179913273158471
P8256	964_SemiBin_111_contig_3254965_2	stress	0.0293422987307571	rank: E	0.0293422987307571	-0.0149286298703551	0.034113956679918
P25675	MEGAHIT-MetaBAT2-S956.75_contig_5804974_38	stress	0.0293359599074598	rank: C;small subunit ribosomal protein S4 (db=kegg)	0.0293359599074598	-0.00458277753986817	0.0447901223025413
P36966	MEGAHIT-MetaBAT2-S985.50_contig_2308610_1	stress	0.0293003476093309	rank: E	0.0293003476093309	0.0291205205425288	-0.0104313662533414
P26726	MEGAHIT-MetaBAT2-S958.173_contig_1707763_4	stress	0.0292783041849007	rank: C;large subunit ribosomal protein L11 (db=kegg)	0.0292783041849007	0.0168612770115424	0.0192643208181433
P5615	953_SemiBin_322_contig_357583_19	stress	0.0292745958678458	rank: C;acyl carrier protein (db=kegg)	0.0292745958678458	-0.0394206823970736	0.0289541492319243
P27700	MEGAHIT-MetaBAT2-S962.117_contig_4866398_12	stress	0.0292677350485453	rank: C;F-type H+-transporting ATPase subunit gamma (db=kegg)	0.0292677350485453	-0.00277601221220102	0.0205776874731947
P15592	992_SemiBin_233_contig_1712861_49	stress	0.029253646624008	rank: C;fructose-bisphosphate aldolase, class II [EC:4.1.2.13] (db=kegg)	0.029253646624008	-0.000474861507038922	-0.0599639132192831
P30767	MEGAHIT-MetaBAT2-S967.229_contig_6869655_3	stress	0.0292460223916392	rank: C;manganese-dependent inorganic pyrophosphatase [EC:3.6.1.1] (db=kegg)	0.0292460223916392	-0.00182189149708654	0.0431219608195839
