X932	X933	X934	X935	X937	X938	X939	X940	X941	X942	X943	X944	X945	X946	X947	X948	X949	X950	X951	X952	X953	X954	X955	X956	X957	X958	X959	X960	X961	X962	X963	X964	X965	X966	X967	X968	X969	X970	X971	X972	X973	X974	X975	X976	X978	X979	X980	X981	X982	X983	X984	X985	X986	X987	X988	X989	X990	X991	X992	X993
P40	25119.6459718764	0	0	96533.5305264213	0	30194.3382183441	48382.3716714242	0	90641.2570683639	79487.399991407	60344.8611357298	0	88329.445970405	0	83474.4294581975	0	52069.9119210438	69584.5398887624	0	0	61721.5826164173	0	0	0	0	0	0	0	36976.9186508899	0	41128.4859189204	0	0	0	0	0	0	0	0	0	0	0	0	0	23063.1715409905	0	0	79835.2651989946	45640.5719662248	35076.6813825767	0	115346.957283093	0	0	0	0	31635.5026215675	0	29523.6336324982	34973.4197794736
P41	0	0	0	0	0	0	0	0	0	33059.8506626829	0	0	0	0	0	0	0	20381.6789028896	0	0	0	0	0	0	0	15886.8389073671	0	0	0	0	0	0	33204.9713495002	0	0	0	0	0	0	0	0	16620.7798494649	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42176.2827026817
P42	0	37564.406935975	0	0	0	0	0	37115.3049142507	0	0	0	0	18139.8799644412	0	27476.9908217094	66767.2760051951	0	0	0	0	0	0	0	26340.8929333635	39535.6725858214	22478.1828732605	0	37955.8390998485	0	0	23512.1388599068	36747.4043564065	41585.3613286632	0	26473.5943537894	0	53931.7161229628	29960.0286076712	0	0	0	63076.778432977	33745.3327706978	0	34304.1011592866	0	0	18603.5888771117	0	0	0	0	0	0	20006.1578948631	0	0	0	0	0
P43	30566.3017358519	58054.4876501837	32578.196292228	42519.5935938233	48944.7979567206	24139.9721410119	31978.1938140463	43130.945961462	31599.742028023	32969.3689645772	46517.1793252615	32517.9744871243	65241.4266422835	35482.8391774864	48605.4828745325	51892.2636309636	44966.4709361061	26672.4023151274	24090.3796595219	30446.9796188137	29999.4460182886	0	33665.3459386273	29259.0933018236	13847.6888902113	45169.5898605067	19859.7947882986	59663.1092997536	27490.6348451903	0	27102.8008119746	73137.8662607236	42699.4361199096	35578.4549426217	33944.2698420518	44230.7226290273	58283.660622271	37055.1948588484	41955.5503452916	46405.5388533417	0	57834.3583437973	62185.6668385494	0	34632.9768929046	18201.8718502791	28025.0869495658	31988.2574463095	31991.0064678523	27574.354727755	19265.9995507946	30511.553654946	28114.1696864173	28376.3293584235	28031.2751864111	12285.8749363891	16068.0861001382	17054.5825130889	15667.5765649389	32217.9348516202
P44	0	28932.7623514482	0	0	15841.0542238982	44712.3931765292	0	0	32100.3549169037	0	28087.6064126839	0	23092.6601255996	0	36039.1797854465	0	0	34508.385264939	0	30199.5081881319	0	0	0	0	0	0	0	26794.142260866	0	0	0	45187.030739683	0	27455.8750235428	0	0	0	28078.3615995054	27712.2625879754	0	0	0	26786.9167758323	0	0	36446.4345559471	0	0	0	0	0	0	0	22900.149873849	0	0	0	0	0	0
P45	0	0	0	0	0	0	0	0	29245.3835093998	20211.0337191829	0	0	0	0	10200.8548362036	0	13318.598979771	20001.6487449754	0	0	0	0	0	0	0	0	0	0	0	0	0	13355.6451606406	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22579.7642903972	0	0	0	0	0	0	0	23493.7749350784
P48	0	37867.3489128135	25502.8438820079	22234.2696950383	21250.0318541163	0	22311.463257555	38619.5405577839	24871.8674191807	19720.993468791	39765.3803422595	29033.4422341833	40476.2393748024	0	72488.8546130311	49602.9346129182	24652.1368915849	51617.0992387192	25692.7483112203	26366.4665902181	36558.9267097519	23620.4694097661	25681.9658305217	19241.4483658652	29860.0435655303	52617.6084416828	29125.152618598	64911.9518901047	31005.2346984844	0	32058.6644535564	107238.436884378	41658.9881942054	59527.5522003004	0	0	56957.0732545023	49289.1860273532	43529.0482808247	44103.1363737799	0	41314.0497248226	51193.7678743852	0	19550.8647677543	0	15255.2726044153	25854.6538238273	59288.66740211	10992.3590212358	15340.8044508601	21130.6454737742	25188.4349016553	0	17227.3873776693	0	38363.089711628	0	20165.3533378227	47545.2950047803
P51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32242.7983151977	0	0	41097.9385894245	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23436.0733924836	0	43978.5054278675	0	46640.5561427838	26950.1940677904	28856.1892619574	0	0	0	0	0	0
P53	0	0	0	0	28974.1223434669	0	19828.4566222972	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11418.5786488635	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19883.9913892368	14267.9399213485	0	0	22021.4728769798	0	0	0	17432.1656157013	0	0	0	0	0	36997.8967782882
P56	0	21514.7686032227	0	0	0	0	0	0	0	0	0	0	46539.4473356458	33604.5583726384	0	0	0	0	0	12609.6535715212	0	0	0	0	0	0	0	0	0	0	0	28754.7364303721	34673.8891290272	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23884.8938453547	0	0	0	0	31978.3629245611	0	0	0
